ANO,BRASIL,MUNDO,FR BRASIL,FR MUNDO,DR BRASIL,DR MUNDO,BR BRASIL,BR MUNDO,LE BRASIL,LE MUNDO
2022,  214 825, 7 941 658,"1,63","2,31","8,1","8,4","12,6","16,8","73,4","71,7"
2023,  215 802, 8 008 552,"1,62","2,31","6,8","7,6","12,5","16,7","76,2","73,4"
2024,  217 043, 8 082 071,"1,62","2,31","6,9","7,5","12,3","16,6","76,4","73,7"
2025,  218 232, 8 155 601,"1,62","2,30","7,0","7,6","12,1","16,4","76,6","73,8"
2026,  219 374, 8 228 376,"1,62","2,30","7,0","7,6","12,1","16,3","76,8","73,9"
2027,  220 480, 8 300 353,"1,61","2,29","7,1","7,7","11,8","16,2","77,0","74,1"
2028,  221 525, 8 371 602,"1,61","2,29","7,2","7,7","11,7","16,1","77,2","74,3"
2029,  222 521, 8 442 055,"1,61","2,28","7,3","7,8","11,5","16,0","77,4","74,4"
2030,  223 459, 8 511 723,"1,62","2,27","7,5","7,9","11,5","15,9","77,6","74,6"
2031,  224 359, 8 580 559,"1,61","2,27","7,6","7,9","11,3","15,8","77,8","74,7"
2032,  225 198, 8 648 506,"1,61","2,26","7,7","8,0","11,2","15,7","78,0","74,9"
2033,  225 981, 8 715 678,"1,61","2,25","7,8","8,1","11,0","15,6","78,2","75,0"
2034,  226 714, 8 781 919,"1,61","2,24","7,9","8,2","10,9","15,6","78,4","75,2"
2035,  227 393, 8 847 231,"1,61","2,23","8,1","8,2","10,8","15,5","78,5","75,3"
2036,  228 018, 8 911 564,"1,61","2,23","8,2","8,3","10,7","15,4","78,7","75,5"
2037,  228 590, 8 974 850,"1,61","2,22","8,3","8,4","10,6","15,3","78,9","75,6"
2038,  229 106, 9 037 203,"1,60","2,22","8,5","8,5","10,4","15,3","79,1","75,7"
2039,  229 559, 9 098 575,"1,61","2,21","8,6","8,6","10,3","15,2","79,3","75,9"
2040,  229 961, 9 158 747,"1,61","2,21","8,8","8,6","10,2","15,1","79,5","76,0"
2041,  230 304, 9 217 754,"1,60","2,20","8,9","8,7","10,1","15,0","79,7","76,1"
2042,  230 585, 9 275 593,"1,60","2,20","9,0","8,8","10,0","14,9","79,9","76,3"
2043,  230 805, 9 332 201,"1,60","2,19","9,2","8,9","9,9","14,8","80,0","76,4"
2044,  230 968, 9 387 472,"1,60","2,19","9,3","9,0","9,8","14,7","80,2","76,5"
2045,  231 087, 9 441 345,"1,61","2,18","9,5","9,1","9,8","14,6","80,4","76,7"
2046,  231 158, 9 493 743,"1,61","2,18","9,6","9,1","9,7","14,5","80,6","76,8"
2047,  231 180, 9 544 639,"1,61","2,17","9,7","9,2","9,6","14,4","80,8","76,9"
2048,  231 158, 9 593 957,"1,61","2,17","9,9","9,3","9,6","14,2","81,0","77,0"
2049,  231 091, 9 641 592,"1,61","2,16","10,0","9,4","9,5","14,1","81,1","77,1"
2050,  230 972, 9 687 440,"1,60","2,15","10,1","9,4","9,4","14,0","81,3","77,2"
2051,  230 799, 9 731 543,"1,60","2,14","10,3","9,5","9,3","13,8","81,5","77,4"
2052,  230 580, 9 773 770,"1,61","2,13","10,4","9,6","9,3","13,7","81,7","77,5"
2053,  230 323, 9 814 434,"1,61","2,12","10,5","9,7","9,2","13,6","81,9","77,6"
2054,  230 023, 9 853 289,"1,61","2,11","10,7","9,7","9,1","13,5","82,0","77,7"
2055,  229 675, 9 890 513,"1,61","2,10","10,8","9,8","9,1","13,4","82,2","77,8"
2056,  229 284, 9 926 097,"1,60","2,10","10,9","9,9","9,0","13,3","82,4","77,9"
2057,  228 839, 9 960 149,"1,61","2,09","11,1","9,9","9,0","13,2","82,5","78,0"
2058,  228 360, 9 992 731,"1,61","2,08","11,2","10,0","8,9","13,1","82,7","78,1"
2059,  227 844, 10 023 889,"1,60","2,07","11,3","10,1","8,8","13,0","82,8","78,2"
2060,  227 276, 10 053 522,"1,61","2,06","11,5","10,2","8,8","13,0","83,0","78,3"
2061,  226 678, 10 081 945,"1,61","2,05","11,6","10,2","8,8","12,9","83,2","78,4"
2062,  226 040, 10 109 201,"1,62","2,04","11,8","10,3","8,8","12,9","83,3","78,5"
2063,  225 364, 10 135 414,"1,62","2,03","11,9","10,3","8,7","12,8","83,5","78,6"
2064,  224 649, 10 160 484,"1,62","2,03","12,1","10,4","8,7","12,8","83,6","78,7"
2065,  223 891, 10 184 543,"1,62","2,02","12,2","10,4","8,6","12,7","83,8","78,8"
2066,  223 091, 10 207 386,"1,62","2,01","12,4","10,5","8,6","12,6","83,9","78,9"
2067,  222 250, 10 229 160,"1,62","2,00","12,5","10,5","8,6","12,6","84,0","79,0"
2068,  221 371, 10 250 008,"1,61","2,00","12,7","10,6","8,5","12,5","84,2","79,1"
2069,  220 450, 10 269 738,"1,62","1,99","12,8","10,7","8,5","12,5","84,3","79,2"
2070,  219 498, 10 288 412,"1,62","1,98","13,0","10,7","8,5","12,4","84,5","79,3"
2071,  218 516, 10 305 922,"1,62","1,97","13,1","10,8","8,5","12,3","84,6","79,4"
2072,  217 506, 10 322 363,"1,61","1,97","13,2","10,8","8,4","12,3","84,7","79,5"
2073,  216 456, 10 337 757,"1,61","1,96","13,4","10,9","8,4","12,2","84,9","79,6"
2074,  215 377, 10 352 026,"1,61","1,96","13,5","10,9","8,3","12,2","85,0","79,7"
2075,  214 277, 10 365 079,"1,61","1,95","13,6","11,0","8,3","12,1","85,1","79,8"
2076,  213 156, 10 376 909,"1,61","1,95","13,7","11,0","8,3","12,0","85,3","79,9"
2077,  212 022, 10 387 452,"1,61","1,94","13,7","11,1","8,3","12,0","85,4","80,0"
2078,  210 869, 10 396 712,"1,62","1,93","13,8","11,1","8,3","11,9","85,5","80,1"
2079,  209 707, 10 404 787,"1,62","1,93","13,9","11,2","8,3","11,8","85,6","80,2"
2080,  208 533, 10 411 747,"1,61","1,92","13,9","11,2","8,2","11,8","85,8","80,3"
2081,  207 346, 10 417 528,"1,61","1,92","14,0","11,3","8,2","11,7","85,9","80,3"
2082,  206 152, 10 422 175,"1,61","1,92","14,0","11,3","8,2","11,7","86,0","80,4"
2083,  204 954, 10 425 871,"1,62","1,91","14,1","11,3","8,2","11,6","86,1","80,5"
2084,  203 760, 10 428 582,"1,62","1,91","14,1","11,4","8,2","11,5","86,3","80,6"
2085,  202 559, 10 430 313,"1,62","1,90","14,1","11,4","8,2","11,5","86,4","80,7"
2086,  201 358, 10 431 046,"1,62","1,90","14,2","11,4","8,2","11,4","86,5","80,8"
2087,  200 164, 10 430 807,"1,62","1,89","14,2","11,5","8,2","11,4","86,6","80,9"
2088,  198 968, 10 429 728,"1,63","1,89","14,2","11,5","8,2","11,3","86,8","81,0"
2089,  197 780, 10 427 933,"1,63","1,88","14,2","11,5","8,2","11,2","86,9","81,1"
2090,  196 595, 10 425 269,"1,62","1,88","14,2","11,5","8,1","11,2","87,0","81,2"
2091,  195 411, 10 421 813,"1,62","1,87","14,2","11,6","8,1","11,1","87,1","81,2"
2092,  194 233, 10 417 482,"1,63","1,87","14,2","11,6","8,1","11,1","87,3","81,3"
2093,  193 062, 10 412 438,"1,63","1,86","14,2","11,6","8,1","11,0","87,4","81,4"
2094,  191 899, 10 406 544,"1,63","1,86","14,1","11,6","8,1","11,0","87,5","81,5"
2095,  190 744, 10 400 000,"1,63","1,86","14,1","11,7","8,1","11,0","87,6","81,6"
2096,  189 593, 10 392 611,"1,64","1,85","14,1","11,7","8,1","10,9","87,7","81,7"
2097,  188 458, 10 384 423,"1,64","1,85","14,1","11,8","8,1","10,9","87,9","81,8"
2098,  187 335, 10 375 354,"1,64","1,84","14,1","11,8","8,1","10,8","88,0","81,9"
2099,  186 215, 10 365 536,"1,63","1,84","14,1","11,8","8,1","10,8","88,1","82,0"
2100,  185 102, 10 355 002,"1,63","1,84","14,1","11,9","8,0","10,8","88,2","82,1"